,pos,nega,neu
4225,5,5,1
4226,17,11,10
4227,16,10,7
4228,11,5,6
4229,12,6,5
4230,24,23,18
4231,20,10,8
4232,11,9,8
4233,13,5,3
4234,17,11,8
4235,10,1,0
4236,7,4,3
4237,21,14,15
4238,15,6,7
4239,33,24,13
4240,40,32,21
4241,24,21,17
4242,10,8,7
4243,14,12,5
4244,15,10,9
4245,13,9,7
4246,13,4,4
4247,8,4,2
4248,19,14,11
4249,8,4,0
4250,10,8,6
4251,14,7,6
4252,8,3,2
4253,27,12,10
4254,40,27,20
4255,8,3,3
4256,21,12,11
4257,8,6,3
4258,29,19,11
4259,28,19,13
4260,18,14,9
4261,7,3,2
4262,17,9,13
4263,16,10,10
4264,17,5,5
4265,16,11,7
4266,12,7,5
4267,9,8,7
4268,19,10,7
4269,15,11,8
4270,29,20,16
4271,12,9,7
4272,20,16,12
4273,18,12,9
4274,6,4,5
4275,7,1,1
4276,10,2,2
4277,50,23,21
4278,16,14,12
4279,17,14,10
4280,12,3,2
4281,24,21,13
4282,4,4,1
4283,21,14,11
4284,21,13,13
4285,13,5,3
4286,8,6,4
4287,18,12,10
4288,13,7,4
4289,14,10,9
4290,32,15,11
4291,12,6,6
4292,18,8,8
4293,43,28,20
4294,9,5,6
4295,51,37,26
4296,10,5,2
4297,23,17,14
4298,18,12,13
4299,26,16,13
4300,11,8,4
4301,13,10,7
4302,8,1,1
4303,25,12,9
4304,16,12,6
4305,15,9,7
4306,6,5,5
4307,20,10,7
4308,17,17,14
4309,16,13,12
4310,14,5,6
4311,19,8,6
4312,19,13,11
4313,11,2,0
4314,14,7,3
4315,14,7,4
4316,23,17,6
4317,29,19,9
4318,15,9,9
4319,6,2,2
4320,27,19,16
4321,15,9,4
4322,49,30,21
4323,10,6,4
4324,11,10,8
4325,7,4,3
4326,6,4,4
4327,27,19,15
4328,13,8,5
4329,11,11,3
4330,14,7,5
4331,12,10,8
4332,11,9,4
4333,4,1,0
4334,16,11,9
4335,39,23,20
4336,8,4,2
4337,7,4,4
4338,6,3,0
4339,8,8,8
4340,22,12,9
4341,26,15,14
4342,23,13,10
4343,19,21,8
4344,14,8,8
4345,8,5,5
4346,44,26,18
4347,16,7,7
4348,15,11,11
4349,14,6,3
4350,22,14,12
4351,20,14,8
4352,30,19,11
4353,16,10,4
4354,26,14,10
4355,19,15,11
4356,13,8,7
4357,8,4,3
4358,26,20,13
4359,20,11,5
4360,20,5,5
4361,18,15,8
4362,15,11,9
4363,3,2,0
4364,14,7,1
4365,22,12,11
4366,11,10,3
4367,18,12,8
4368,12,9,7
4369,17,14,10
4370,35,16,10
4371,12,3,1
4372,13,6,3
4373,38,23,10
4374,15,9,8
4375,36,26,18
4376,17,10,8
4377,15,5,5
4378,84,55,47
4379,10,4,3
4380,29,17,32
4381,8,7,4
4382,28,18,11
4383,11,7,6
4384,12,7,5
4385,29,24,11
4386,45,27,21
4387,4,4,4
4388,11,5,3
4389,11,6,6
4390,16,16,5
4391,18,11,8
4392,15,7,5
4393,17,12,10
4394,17,11,4
4395,23,16,12
4396,51,31,17
4397,18,13,6
4398,30,14,7
4399,16,11,5
4400,19,13,10
4401,8,6,4
4402,17,9,8
4403,7,4,6
4404,36,20,17
4405,9,4,5
4406,28,20,16
4407,27,16,12
4408,22,16,12
4409,15,10,7
4410,2,1,1
4411,19,16,14
4412,9,3,2
4413,10,5,6
4414,21,16,11
4415,10,6,4
4416,24,13,11
4417,11,7,6
4418,30,23,10
4419,21,16,15
4420,11,5,2
4421,17,13,11
4422,17,15,17
4423,11,7,7
4424,10,6,5
4425,35,19,16
4426,6,3,2
4427,19,6,4
4428,23,11,8
4429,26,11,9
4430,16,9,7
4431,9,6,6
4432,20,14,10
4433,9,4,3
4434,13,5,6
4435,30,20,13
4436,5,2,0
4437,11,6,4
4438,18,6,6
4439,22,10,8
4440,11,5,5
4441,15,6,5
4442,13,8,7
4443,6,5,2
4444,14,8,6
4445,10,5,5
4446,17,9,6
4447,5,1,1
4448,17,14,19
4449,10,5,5
4450,26,12,11
4451,16,19,7
4452,13,9,6
4453,13,9,2
4454,16,13,12
4455,5,2,1
4456,28,17,11
4457,18,12,9
4458,18,14,11
4459,5,3,3
4460,44,22,10
4461,12,10,8
4462,7,5,2
4463,17,9,6
4464,6,2,0
4465,22,13,23
4466,17,7,6
4467,14,9,7
4468,4,1,1
4469,8,7,7
4470,23,12,9
4471,7,4,1
4472,4,3,1
4473,29,18,11
4474,16,7,7
4475,15,4,4
4476,18,11,6
4477,37,18,14
4478,26,11,11
4479,5,5,3
4480,28,15,17
4481,33,17,11
4482,21,8,10
4483,13,7,3
4484,13,9,9
4485,12,8,6
4486,13,4,2
4487,35,19,14
4488,17,7,6
4489,16,11,9
4490,13,8,7
4491,19,10,5
4492,26,6,6
4493,12,7,5
4494,19,12,13
4495,17,13,9
4496,16,14,12
4497,15,14,9
4498,32,17,13
4499,20,16,8
4500,14,9,8
4501,11,9,5
4502,10,2,0
4503,31,21,18
4504,23,15,13
4505,12,5,4
4506,15,7,7
4507,7,3,1
4508,16,11,6
4509,27,22,10
4510,22,15,12
4511,14,10,6
4512,51,28,18
4513,8,5,5
4514,13,7,6
4515,25,16,14
4516,14,7,3
4517,14,12,7
4518,10,7,2
4519,5,3,2
4520,35,19,13
4521,24,16,11
4522,27,22,16
4523,27,17,13
4524,18,12,9
4525,10,7,5
4526,14,8,5
4527,15,12,10
4528,11,4,5
4529,16,10,5
4530,32,21,10
4531,37,23,21
4532,17,7,4
4533,6,2,1
4534,6,2,7
4535,14,7,4
4536,9,5,5
4537,21,12,14
4538,18,14,9
4539,12,8,7
4540,22,15,9
4541,35,23,15
4542,18,8,6
4543,19,10,12
4544,13,9,5
4545,4,3,2
4546,12,7,6
4547,9,5,5
4548,17,11,8
4549,6,2,2
4550,10,4,5
4551,21,15,5
4552,16,9,6
4553,14,8,7
4554,11,7,2
4555,20,14,6
4556,30,25,14
4557,5,3,4
4558,7,4,2
4559,8,5,2
4560,17,9,5
4561,26,12,9
4562,11,5,5
4563,19,11,9
4564,13,8,14
4565,6,2,1
4566,18,6,5
4567,14,8,4
4568,13,9,8
4569,11,8,7
4570,26,19,17
4571,14,10,8
4572,25,14,10
4573,20,11,6
4574,20,9,8
4575,20,15,11
4576,5,4,6
4577,15,9,4
4578,20,16,10
4579,10,7,3
4580,11,7,6
4581,8,2,1
4582,34,12,7
4583,18,9,6
4584,25,16,15
4585,8,9,6
4586,5,3,0
4587,16,12,6
4588,18,6,6
4589,32,15,19
4590,13,9,8
4591,19,8,6
4592,10,7,6
4593,10,5,3
4594,6,2,1
4595,21,21,7
4596,35,13,16
4597,14,9,6
4598,22,15,9
4599,9,7,5
4600,13,10,7
4601,9,5,2
4602,37,23,21
4603,7,4,4
4604,8,5,4
4605,11,6,3
4606,21,17,8
4607,24,13,12
4608,12,6,8
4609,25,20,16
4610,16,13,10
4611,8,2,2
4612,15,7,6
4613,9,7,2
4614,14,9,5
4615,30,15,9
4616,14,9,10
4617,14,10,9
4618,15,7,5
4619,13,6,4
4620,11,9,6
4621,9,8,4
4622,18,14,11
4623,8,5,6
4624,24,21,16
4625,9,9,7
4626,13,5,7
4627,23,11,9
4628,14,10,9
4629,18,10,12
4630,10,4,3
4631,15,9,9
4632,30,17,16
4633,13,7,7
4634,18,8,7
4635,10,6,5
4636,25,17,10
4637,7,2,3
4638,6,4,1
4639,5,4,3
4640,6,2,2
4641,18,13,8
4642,5,1,1
4643,19,16,9
4644,20,12,11
4645,17,13,6
4646,30,16,18
4647,14,15,8
4648,24,13,12
4649,3,1,1
4650,15,9,10
4651,12,10,5
4652,23,13,7
4653,9,6,6
4654,50,31,24
4655,9,8,7
4656,25,14,9
4657,18,16,10
4658,7,3,1
4659,24,11,8
4660,14,9,7
4661,19,13,9
4662,15,9,4
4663,10,5,5
4664,16,7,6
4665,27,18,14
4666,11,8,6
4667,58,41,22
4668,7,5,5
4669,13,5,3
4670,11,7,5
4671,17,9,8
4672,16,11,10
4673,8,5,4
4674,24,15,14
4675,8,5,3
4676,46,32,19
4677,7,6,3
4678,14,11,8
4679,36,27,15
4680,21,7,7
4681,50,40,23
4682,14,8,7
4683,17,9,5
4684,18,13,10
4685,5,6,1
4686,15,10,5
4687,11,6,4
4688,18,8,4
4689,5,2,1
4690,4,2,1
4691,31,16,10
4692,10,6,6
4693,29,17,15
4694,15,10,11
4695,7,5,2
4696,16,4,3
4697,23,11,4
4698,27,21,18
4699,4,3,1
4700,12,10,11
4701,27,21,18
4702,11,10,7
4703,13,7,5
4704,14,7,5
4705,4,8,0
4706,17,12,6
4707,16,10,4
4708,27,22,18
4709,12,10,5
4710,31,27,21
4711,7,4,2
4712,15,10,7
4713,20,14,12
4714,13,8,4
4715,13,8,4
4716,13,10,12
4717,10,6,5
4718,11,7,3
4719,9,6,6
4720,11,3,3
4721,7,3,1
4722,10,8,7
4723,10,7,5
4724,12,6,6
4725,15,8,8
4726,25,13,12
4727,11,7,5
4728,12,5,6
4729,11,8,6
4730,28,14,14
4731,20,14,10
4732,30,13,9
4733,11,6,6
4734,5,4,2
4735,16,10,8
4736,20,16,11
4737,7,5,4
4738,13,6,3
4739,19,13,8
4740,25,19,10
4741,16,12,12
4742,16,8,5
4743,8,6,2
4744,31,20,12
4745,12,4,9
4746,24,17,11
4747,19,9,6
4748,20,10,4
4749,9,6,5
4750,32,17,13
4751,19,6,5
4752,17,5,4
4753,7,4,1
4754,3,2,2
4755,22,18,14
4756,15,10,9
4757,17,11,12
4758,13,8,6
4759,11,8,5
4760,8,2,2
4761,11,11,7
4762,9,3,3
4763,5,5,3
4764,10,8,7
4765,15,9,4
4766,15,8,7
4767,25,18,11
4768,4,5,2
4769,17,13,9
4770,6,3,3
4771,21,12,8
4772,13,9,5
4773,12,7,4
4774,21,21,12
4775,18,13,14
4776,14,4,3
4777,21,13,4
4778,14,7,4
4779,14,4,3
4780,26,20,13
4781,6,3,1
4782,40,22,19
4783,11,6,5
4784,13,10,5
4785,10,6,4
4786,22,14,10
4787,16,8,8
4788,7,5,5
4789,17,12,6
4790,7,4,2
4791,28,24,11
4792,12,6,6
4793,18,10,8
4794,20,20,4
4795,14,5,2
4796,30,20,13
4797,16,10,6
4798,21,14,9
4799,23,14,9
4800,8,7,7
4801,12,5,3
4802,38,21,15
4803,15,6,6
4804,12,9,7
4805,19,10,5
4806,14,8,7
4807,7,4,3
4808,21,12,10
4809,12,7,8
4810,24,16,12
4811,14,11,6
4812,18,12,7
4813,21,14,8
4814,18,9,9
4815,11,7,6
4816,24,13,13
4817,17,8,9
4818,12,8,6
4819,10,8,6
4820,23,18,10
4821,12,10,8
4822,12,3,1
4823,7,7,5
4824,25,19,7
4825,7,4,8
4826,18,13,9
4827,14,6,3
4828,9,8,5
4829,22,11,4
4830,5,2,3
4831,6,5,1
4832,8,4,3
4833,13,8,7
4834,31,24,31
4835,13,6,5
4836,27,12,10
4837,11,7,6
4838,11,6,7
4839,29,17,13
4840,8,6,5
4841,6,1,2
4842,14,9,7
4843,5,2,3
4844,7,4,3
4845,15,18,7
4846,6,1,2
4847,5,4,3
4848,15,7,6
4849,63,43,25
4850,12,8,6
4851,30,21,13
4852,12,9,5
4853,17,7,8
4854,21,7,6
4855,3,0,0
4856,13,5,4
4857,24,18,8
4858,42,27,22
4859,41,23,13
4860,29,19,14
4861,10,4,2
4862,22,7,3
4863,38,21,17
4864,13,8,14
4865,10,7,4
4866,26,17,11
4867,25,10,11
4868,21,11,8
4869,19,9,3
4870,18,10,6
4871,18,18,9
4872,18,15,11
4873,11,8,3
4874,16,6,8
4875,9,6,3
4876,9,7,5
4877,12,11,10
4878,8,5,2
4879,4,2,0
4880,12,6,2
4881,2,1,0
4882,5,2,0
4883,15,11,7
4884,22,18,18
4885,23,13,9
4886,27,14,11
4887,27,27,15
4888,3,0,0
4889,12,7,6
4890,10,6,3
4891,26,15,7
4892,21,7,10
4893,14,8,6
4894,26,7,6
4895,29,16,10
4896,15,12,10
4897,8,5,3
4898,40,18,9
4899,2,2,0
4900,14,10,7
4901,9,6,3
4902,6,6,2
4903,25,15,11
4904,11,7,5
4905,28,10,6
4906,25,13,11
4907,33,21,20
4908,16,11,8
4909,9,8,4
4910,6,5,1
4911,28,12,2
4912,11,11,4
4913,8,3,3
4914,23,12,10
4915,45,23,18
4916,15,11,7
4917,4,3,2
4918,12,5,5
4919,46,27,18
4920,22,16,13
4921,16,11,7
4922,12,7,5
4923,23,12,8
4924,16,12,10
4925,30,21,19
4926,13,9,14
4927,34,24,26
4928,18,10,6
4929,10,6,5
4930,11,6,8
4931,10,4,2
4932,8,4,3
4933,21,13,7
4934,12,8,6
4935,13,7,3
4936,17,10,9
4937,17,16,9
4938,35,27,15
4939,21,16,9
4940,3,1,0
4941,7,9,5
4942,11,7,6
4943,15,7,3
4944,19,12,7
4945,8,4,2
4946,4,1,1
4947,11,11,2
4948,6,1,3
4949,9,10,5
4950,15,10,5
4951,14,11,8
4952,15,10,7
4953,17,9,7
4954,5,4,2
4955,20,15,9
4956,13,9,5
4957,18,11,8
4958,25,19,13
4959,38,23,19
4960,4,2,0
4961,7,7,4
4962,19,8,9
4963,13,10,10
4964,3,1,1
4965,32,18,20
4966,5,3,1
4967,21,12,11
4968,33,23,11
4969,12,7,4
4970,15,6,4
4971,18,9,8
4972,6,1,1
4973,12,10,6
4974,21,17,14
4975,14,5,4
4976,20,12,7
4977,9,7,4
4978,8,6,3
4979,12,7,8
4980,24,13,13
4981,13,14,3
4982,16,16,13
4983,10,7,7
4984,27,10,9
4985,40,28,26
4986,10,7,3
4987,12,3,2
4988,14,3,1
4989,8,4,1
4990,37,20,10
4991,20,12,8
4992,16,11,7
4993,19,11,8
4994,3,2,2
4995,36,24,16
4996,3,2,2
4997,43,24,20
4998,22,14,8
4999,11,4,3
5000,15,9,6
5001,29,20,17
5002,38,19,19
5003,48,24,21
5004,6,6,1
5005,18,22,11
5006,25,12,2
5007,18,13,10
5008,10,9,6
5009,26,16,17
5010,13,7,3
5011,22,13,11
5012,23,11,10
5013,10,5,1
5014,6,4,2
5015,6,4,4
5016,8,4,3
5017,11,6,3
5018,16,16,7
5019,11,11,2
5020,25,16,7
5021,9,2,2
5022,22,15,9
5023,20,11,9
5024,10,6,4
5025,12,7,2
5026,26,20,10
5027,10,6,4
5028,27,18,13
5029,11,13,2
5030,16,7,4
5031,11,8,3
5032,10,11,2
5033,14,10,5
5034,17,11,7
5035,12,4,2
5036,22,13,7
5037,27,19,15
5038,25,15,8
5039,10,7,2
5040,20,10,6
5041,8,8,3
5042,26,17,12
5043,14,11,6
5044,10,6,4
5045,8,3,2
5046,13,10,8
5047,29,18,12
5048,6,3,3
5049,15,10,9
5050,8,3,4
5051,11,6,4
5052,14,11,4
5053,12,8,5
5054,23,19,14
5055,14,7,6
5056,15,4,2
5057,18,11,11
5058,14,8,10
5059,7,1,1
5060,13,8,6
5061,7,5,5
5062,11,3,1
5063,13,12,9
5064,21,10,12
5065,8,2,1
5066,11,4,3
5067,17,9,9
5068,50,34,33
5069,6,5,3
5070,19,14,20
5071,22,15,12
5072,20,4,2
5073,7,4,3
5074,15,7,8
5075,17,8,5
5076,23,20,21
5077,14,12,5
5078,7,5,1
5079,2,0,1
5080,31,19,12
5081,25,18,15
5082,13,6,5
5083,19,14,9
5084,22,10,9
5085,19,11,5
5086,24,16,9
5087,14,6,6
5088,16,7,6
5089,17,16,10
5090,11,7,8
5091,24,17,12
5092,16,8,5
5093,14,6,7
5094,24,15,11
5095,8,3,4
5096,22,11,8
5097,17,17,7
5098,16,9,4
5099,11,9,4
5100,11,7,7
5101,15,7,5
5102,30,23,19
5103,13,11,9
5104,19,11,9
5105,19,17,15
5106,6,4,3
5107,6,1,1
5108,14,11,8
5109,16,7,3
5110,20,9,6
5111,16,8,5
5112,26,21,17
5113,17,13,7
5114,11,10,8
5115,13,7,10
5116,15,11,9
5117,16,10,7
5118,11,9,7
5119,20,10,9
5120,23,18,11
5121,6,5,3
5122,14,6,4
5123,22,11,7
5124,26,15,9
5125,7,3,1
5126,8,8,7
5127,15,6,4
5128,50,35,21
5129,19,8,6
5130,22,7,6
5131,28,14,10
5132,16,11,7
5133,10,11,7
5134,29,10,5
5135,18,13,11
5136,8,5,4
5137,9,4,5
5138,8,7,3
5139,9,6,3
5140,14,11,10
5141,16,9,7
5142,11,8,3
5143,14,6,6
5144,27,16,14
5145,9,6,4
5146,33,15,13
5147,5,4,2
5148,10,6,5
5149,12,9,7
5150,8,6,4
5151,10,6,3
5152,7,5,5
5153,25,16,10
5154,9,4,4
5155,8,2,1
5156,15,5,7
5157,40,27,24
5158,15,12,11
5159,18,19,11
5160,16,12,10
5161,15,9,9
5162,24,18,16
5163,26,10,6
5164,9,8,5
5165,13,7,6
5166,31,14,10
5167,18,10,7
5168,30,20,17
5169,15,11,6
5170,7,4,3
5171,16,8,7
5172,9,6,3
5173,5,2,2
5174,23,9,15
5175,11,6,2
5176,14,8,5
5177,23,12,8
5178,35,19,19
5179,31,17,9
5180,13,6,3
5181,15,9,5
5182,34,15,15
5183,25,16,7
5184,15,10,7
5185,20,16,8
5186,23,10,12
5187,27,20,19
5188,32,20,10
5189,19,14,11
5190,16,10,9
5191,13,6,6
5192,29,20,11
5193,13,2,3
5194,17,6,3
5195,8,3,3
5196,27,15,10
5197,11,4,3
5198,22,18,13
5199,16,12,7
5200,18,11,10
5201,11,8,6
5202,6,3,2
5203,48,30,21
5204,14,9,6
5205,70,21,21
5206,11,5,1
5207,22,18,10
5208,15,9,5
5209,18,11,7
5210,10,6,5
5211,11,5,3
5212,28,17,14
5213,19,14,9
5214,14,9,6
5215,28,17,9
5216,43,27,22
5217,19,6,5
5218,12,8,4
5219,17,11,10
5220,19,14,7
5221,24,16,13
5222,22,15,9
5223,21,12,10
5224,19,16,10
5225,5,4,4
5226,11,7,6
5227,3,4,0
5228,10,6,5
5229,16,13,6
5230,7,4,2
5231,16,10,9
5232,11,6,6
5233,21,9,9
5234,14,7,6
5235,13,9,6
5236,4,1,1
5237,18,5,4
5238,23,17,15
5239,15,11,6
5240,18,10,6
5241,15,11,8
5242,19,11,10
5243,27,12,9
5244,27,20,11
5245,19,14,7
5246,11,12,6
5247,9,5,5
5248,37,19,9
5249,12,8,7
5250,13,5,5
5251,12,10,6
5252,6,6,3
5253,6,4,3
5254,13,10,5
5255,14,5,3
5256,27,15,12
5257,8,6,4
5258,24,16,9
5259,12,7,7
5260,22,13,10
5261,4,4,2
5262,8,7,4
5263,10,7,4
5264,4,4,3
5265,15,7,5
5266,13,9,3
5267,12,7,7
5268,14,9,8
5269,14,5,2
5270,22,12,7
5271,17,12,8
5272,18,13,7
5273,17,15,10
5274,22,18,12
5275,8,3,4
5276,16,4,3
5277,10,5,2
5278,15,14,7
5279,11,7,4
5280,13,10,5
5281,18,10,8
5282,17,9,7
5283,8,6,5
5284,32,22,21
5285,14,5,5
5286,11,8,8
5287,10,5,6
5288,32,18,19
5289,41,22,17
5290,25,16,12
5291,31,16,11
5292,5,3,3
5293,10,6,4
5294,8,2,2
5295,15,9,7
5296,11,8,7
5297,23,13,11
5298,21,10,7
5299,36,29,23
5300,15,9,7
5301,8,3,3
5302,24,16,14
5303,17,9,6
5304,10,4,2
5305,14,9,4
5306,11,8,6
5307,17,10,7
5308,21,15,15
5309,42,31,23
5310,11,4,2
5311,25,13,11
5312,10,5,4
5313,20,15,12
5314,20,13,10
5315,17,10,10
5316,15,9,7
5317,14,8,4
5318,19,11,6
5319,22,11,5
5320,16,9,6
5321,16,12,9
5322,5,2,1
5323,7,6,4
5324,6,5,2
5325,14,10,7
5326,17,5,4
5327,16,8,7
5328,32,16,7
5329,26,20,19
5330,19,7,7
5331,15,7,7
5332,26,19,12
5333,17,11,9
5334,18,13,7
5335,23,12,7
5336,25,15,10
5337,25,16,13
5338,7,4,5
5339,43,25,12
5340,13,8,4
5341,12,4,5
5342,7,3,1
5343,20,14,11
5344,26,12,10
5345,16,14,7
5346,18,13,11
5347,12,6,5
5348,12,4,4
5349,5,3,2
5350,20,17,12
5351,24,20,13
5352,33,17,8
5353,21,12,8
5354,21,14,12
5355,16,13,7
5356,8,7,2
5357,14,7,6
5358,24,13,8
5359,46,28,23
5360,35,21,12
5361,11,10,6
5362,21,14,12
5363,12,8,7
5364,17,10,7
5365,15,12,9
5366,17,11,10
5367,31,26,22
5368,33,17,12
5369,15,6,5
5370,23,14,13
5371,17,13,18
5372,23,21,13
5373,12,8,3
5374,19,15,8
5375,15,8,2
5376,10,7,6
5377,18,13,11
5378,7,3,0
5379,9,6,5
5380,35,23,14
5381,26,14,11
5382,11,8,7
5383,8,5,3
5384,18,6,5
5385,11,2,0
5386,25,16,13
5387,13,6,4
5388,19,13,10
5389,17,7,5
5390,12,11,9
5391,19,17,11
5392,17,9,3
5393,25,13,12
5394,18,14,11
5395,16,17,8
5396,33,25,15
5397,26,16,14
5398,12,9,10
5399,8,4,4
5400,24,11,9
5401,20,9,6
5402,13,11,9
5403,14,6,5
5404,5,3,4
5405,13,5,2
5406,13,7,4
5407,20,18,15
5408,18,9,6
5409,71,42,27
5410,10,7,5
5411,25,12,12
5412,20,7,4
5413,36,29,24
5414,12,8,7
5415,10,6,3
5416,17,11,8
5417,22,16,14
5418,14,10,9
5419,14,10,7
5420,37,22,16
5421,5,4,1
5422,37,14,8
5423,28,17,11
5424,15,6,4
5425,21,12,13
5426,26,17,11
5427,22,11,9
5428,5,1,2
5429,18,12,6
5430,5,2,1
5431,15,9,8
5432,17,6,6
5433,14,11,6
5434,10,10,3
5435,7,4,4
5436,22,15,8
5437,28,15,12
5438,12,7,8
5439,15,10,8
5440,4,4,3
5441,7,5,3
5442,8,2,1
5443,19,14,7
5444,8,8,8
5445,6,4,3
5446,9,5,4
5447,8,5,5
5448,28,15,11
5449,29,20,20
5450,18,12,6
5451,19,14,12
5452,4,3,2
5453,37,31,21
5454,11,6,7
5455,7,3,2
5456,4,3,3
5457,21,7,9
5458,19,10,6
5459,8,3,4
5460,18,7,6
5461,59,26,17
5462,22,18,14
5463,42,28,20
5464,19,12,10
5465,17,10,6
5466,15,8,7
5467,9,1,1
5468,5,3,0
5469,17,11,6
5470,12,6,4
5471,29,21,7
5472,9,3,1
5473,17,15,10
5474,15,6,2
5475,16,12,8
5476,9,5,4
5477,37,28,19
5478,10,7,4
5479,16,9,3
5480,11,9,7
5481,24,13,13
5482,23,14,12
5483,13,4,4
5484,23,13,10
5485,15,12,6
5486,9,9,3
5487,12,7,7
5488,5,3,3
5489,36,20,21
5490,12,7,6
5491,10,5,4
5492,15,10,6
5493,29,15,10
5494,36,19,18
5495,20,10,10
5496,20,16,12
5497,5,3,4
5498,14,7,5
5499,29,10,9
5500,38,24,22
5501,16,16,12
5502,22,11,8
5503,17,12,7
5504,18,15,10
5505,11,8,7
5506,34,18,16
5507,11,6,3
5508,20,14,7
5509,8,4,4
5510,5,3,2
5511,9,5,4
5512,15,8,4
5513,15,9,5
5514,6,3,1
5515,24,19,17
5516,10,7,0
5517,20,12,15
5518,13,5,5
5519,13,7,7
5520,21,13,13
5521,19,11,19
5522,14,6,3
5523,11,10,5
5524,7,4,3
5525,7,2,2
5526,8,5,2
5527,12,5,2
5528,8,5,4
5529,25,16,11
5530,5,4,3
5531,22,11,10
5532,14,8,11
5533,10,4,2
5534,35,18,9
5535,13,6,5
5536,13,9,8
5537,9,6,4
5538,6,4,3
5539,37,25,19
5540,7,2,1
5541,21,7,6
5542,20,12,7
5543,15,12,11
5544,16,8,6
5545,14,8,6
5546,6,6,5
5547,18,11,8
5548,35,40,20
5549,37,26,20
5550,42,19,14
5551,29,21,19
5552,7,2,2
5553,33,20,15
5554,17,11,9
5555,13,10,6
5556,27,20,11
5557,52,28,21
5558,26,15,13
5559,15,6,4
5560,11,9,7
5561,11,7,4
5562,11,11,4
5563,17,8,5
5564,13,9,8
5565,17,7,4
5566,16,6,5
5567,9,5,4
5568,38,21,16
5569,7,3,3
5570,7,5,0
5571,15,11,7
5572,8,6,5
5573,8,5,5
5574,7,8,0
5575,37,21,17
5576,36,22,14
5577,14,6,4
5578,9,5,2
5579,10,5,4
5580,20,11,7
5581,11,6,4
5582,19,12,8
5583,48,34,20
5584,27,21,12
5585,7,5,3
5586,5,4,2
5587,9,4,1
5588,14,11,8
5589,12,11,4
5590,28,25,15
5591,4,4,3
5592,8,9,4
5593,24,17,15
5594,22,15,11
5595,12,11,6
5596,17,9,6
5597,26,17,12
5598,22,5,2
5599,55,33,30
5600,16,9,9
5601,12,11,8
5602,12,2,8
5603,20,5,9
5604,21,8,11
5605,7,5,4
5606,34,21,19
5607,8,7,6
5608,9,4,4
5609,20,15,9
5610,29,19,19
5611,16,11,10
5612,6,5,3
5613,6,3,0
5614,9,5,4
5615,16,10,7
5616,25,21,12
5617,13,9,8
5618,15,8,8
5619,53,36,32
5620,15,9,4
5621,13,9,7
5622,17,21,6
5623,12,8,5
5624,14,8,8
5625,18,11,9
5626,13,6,1
5627,13,9,5
5628,6,1,1
5629,23,12,8
5630,12,8,5
5631,27,13,6
5632,10,3,1
5633,26,10,9
5634,6,4,3
5635,25,13,7
5636,9,2,2
5637,14,9,5
5638,15,8,5
5639,13,8,4
5640,13,9,9
5641,12,8,5
5642,26,20,17
5643,6,5,4
5644,18,19,9
5645,20,7,3
5646,24,17,15
5647,23,12,10
5648,41,25,20
5649,37,27,15
5650,39,28,22
5651,31,21,12
5652,18,11,8
5653,12,7,7
5654,10,2,2
5655,25,15,12
5656,6,4,4
5657,13,13,6
5658,23,18,14
5659,13,7,6
5660,12,7,4
5661,8,6,4
5662,43,29,13
5663,5,4,2
5664,19,6,7
5665,27,12,9
5666,15,7,6
5667,19,3,4
5668,7,2,2
5669,15,7,3
5670,54,36,23
5671,10,2,3
5672,12,5,4
5673,7,5,3
5674,6,2,3
5675,20,12,13
5676,9,3,2
5677,15,3,2
5678,5,3,2
5679,15,9,6
5680,25,19,12
5681,17,8,3
5682,7,6,6
5683,21,6,5
5684,18,10,11
5685,21,15,12
5686,4,3,1
5687,10,5,3
5688,7,5,4
5689,10,9,5
5690,5,4,3
5691,13,10,7
5692,20,16,13
5693,11,5,1
5694,25,9,8
5695,21,12,11
5696,54,34,29
5697,45,29,20
5698,20,18,11
5699,20,17,14
5700,6,3,2
5701,22,15,10
5702,14,9,8
5703,7,4,0
5704,11,4,3
5705,17,10,6
5706,31,21,12
5707,13,12,9
5708,14,10,8
5709,16,14,5
5710,36,18,12
5711,14,11,9
5712,9,6,4
5713,13,6,4
5714,10,12,5
5715,33,22,14
5716,20,15,11
5717,7,2,2
5718,18,12,9
5719,14,14,6
5720,21,14,10
5721,11,8,7
5722,14,8,7
5723,32,22,14
5724,12,7,3
5725,8,4,2
5726,41,27,26
5727,10,4,1
5728,20,14,12
5729,39,21,17
5730,16,10,12
5731,21,15,11
5732,9,4,3
5733,13,9,6
5734,32,20,17
5735,21,13,10
5736,12,7,5
5737,11,7,7
5738,24,15,13
5739,20,15,10
5740,12,6,2
5741,48,35,30
5742,10,4,2
5743,10,3,5
5744,9,6,6
5745,14,9,8
5746,14,10,7
5747,22,10,8
5748,13,10,8
5749,12,9,8
5750,13,7,5
5751,9,3,4
5752,15,9,9
5753,28,13,6
5754,13,10,7
5755,3,2,1
5756,17,6,4
5757,17,9,6
5758,17,12,10
5759,42,33,26
5760,18,10,8
5761,13,9,5
5762,7,5,5
5763,19,12,11
5764,9,5,6
5765,19,17,9
5766,7,5,7
5767,14,8,7
5768,7,2,1
5769,37,27,21
5770,25,9,8
5771,16,7,7
5772,6,5,3
5773,9,7,4
5774,13,12,8
5775,10,7,6
5776,12,9,11
5777,9,3,5
5778,23,17,9
