,pos,nega,neu
398,24,17,10
399,19,13,5
400,8,6,2
401,11,6,5
402,28,14,12
403,25,15,9
404,15,10,3
405,16,10,5
406,8,5,2
407,24,14,17
408,30,24,18
409,15,8,6
410,19,21,9
411,11,6,5
412,10,8,1
413,14,14,4
414,24,19,11
415,14,12,7
416,19,10,7
417,29,16,11
418,25,16,11
419,18,11,8
420,12,5,5
421,7,3,2
422,18,10,8
423,6,3,1
424,21,14,16
425,25,14,13
426,5,2,2
427,12,11,8
428,26,17,8
429,17,10,6
430,6,2,3
431,10,7,10
432,12,7,5
433,49,28,29
434,19,6,3
435,8,7,6
436,24,13,25
437,27,19,14
438,18,8,5
439,10,4,3
440,25,12,7
441,21,10,8
442,11,8,6
443,11,8,6
444,17,9,8
445,3,2,1
446,17,10,6
447,16,7,4
448,14,7,6
449,37,17,10
450,19,9,8
451,16,8,6
452,32,19,12
453,24,17,16
454,10,4,3
455,9,6,5
456,41,24,12
457,85,54,36
458,24,16,10
459,21,11,10
460,12,8,6
461,18,7,3
462,4,1,2
463,12,5,5
464,21,12,4
465,11,7,6
466,34,19,18
467,26,10,8
468,17,6,3
469,31,18,11
470,16,13,13
471,14,9,7
472,31,18,15
473,5,5,1
474,21,16,9
475,15,8,9
476,4,2,0
477,7,3,3
478,28,22,18
479,8,2,2
480,16,11,11
481,18,14,10
482,9,4,2
483,27,21,17
484,29,14,11
485,5,2,3
486,31,26,21
487,46,33,28
488,29,23,19
489,17,9,3
490,19,9,7
491,10,7,5
492,12,7,4
493,4,1,2
494,4,4,4
495,10,8,5
496,12,10,6
497,22,14,8
498,13,7,7
499,13,4,4
500,11,9,5
501,14,11,7
502,13,10,9
503,14,11,9
504,25,15,11
505,20,10,10
506,37,30,25
507,32,21,12
508,10,6,3
509,10,6,3
510,8,4,3
511,47,20,14
512,17,10,9
513,36,21,19
514,11,11,5
515,17,6,6
516,23,13,5
517,20,16,12
518,30,20,14
519,26,14,13
520,24,13,10
521,15,11,6
522,24,15,10
523,3,2,2
524,11,6,6
525,20,15,7
526,7,4,3
527,23,15,10
528,19,11,9
529,39,26,22
530,45,25,20
531,24,19,10
532,13,11,9
533,21,16,10
534,6,6,2
535,18,14,13
536,23,13,12
537,7,3,1
538,6,2,2
539,16,17,8
540,15,11,3
541,10,8,4
542,26,15,7
543,6,3,3
544,16,5,6
545,14,7,3
546,44,22,16
547,7,3,4
548,19,12,12
549,12,5,2
550,19,13,9
551,15,9,6
552,12,6,4
553,21,12,10
554,15,6,2
555,17,11,6
556,7,4,3
557,6,2,2
558,22,12,8
559,23,13,9
560,12,4,1
561,14,7,5
562,7,9,2
563,26,17,13
564,20,15,13
565,25,14,12
566,10,6,5
567,12,6,6
568,27,15,12
569,17,14,12
570,18,9,10
571,8,6,3
572,18,15,9
573,19,12,8
574,20,21,11
575,5,4,2
576,20,12,9
577,9,6,3
578,18,7,5
579,8,8,5
580,21,9,8
581,9,5,5
582,8,8,5
